product_category,unit_price,unit_cost,historical_avg_sales,lead_time_days,quarter,actual_demand
Apparel,394.2,268.58,106.2,21,Q3,90
Apparel,616.1,375.33,118.0,23,Q4,129
Electronics,459.66,215.13,20.6,16,Q3,14
Automotive,140.16,66.22,67.5,14,Q1,61
Perishables,674.39,374.56,73.2,12,Q1,55
Raw Materials,78.53,45.24,102.9,19,Q2,110
Automotive,57.42,29.65,33.0,25,Q3,34
Perishables,621.52,288.35,31.1,15,Q1,23
Electronics,292.08,138.33,77.2,13,Q4,103
Apparel,425.23,308.14,107.5,22,Q4,129
Perishables,232.22,114.04,86.8,17,Q3,74
Electronics,947.49,702.08,87.6,12,Q3,65
Electronics,463.16,229.63,50.2,16,Q3,30
Electronics,815.82,382.3,72.9,21,Q2,45
Automotive,418.76,292.95,20.8,22,Q4,9
Perishables,336.89,222.41,28.6,26,Q3,22
Raw Materials,363.34,199.04,37.1,6,Q2,33
Automotive,794.68,427.53,99.4,16,Q1,63
Automotive,500.01,353.4,15.3,5,Q4,8
Automotive,788.37,577.8,53.2,26,Q2,39
Apparel,355.83,208.45,96.6,14,Q3,86
Electronics,895.78,667.58,66.4,23,Q4,56
Electronics,488.24,295.41,84.1,21,Q1,58
Raw Materials,418.69,249.48,35.6,10,Q1,32
Electronics,199.7,115.76,68.9,27,Q2,56
Electronics,714.86,476.22,104.7,8,Q1,71
Perishables,239.03,166.16,109.8,4,Q4,104
Perishables,894.39,430.92,73.5,14,Q3,52
Apparel,764.29,533.07,17.6,27,Q3,15
Raw Materials,40.59,19.84,20.6,20,Q4,20
Apparel,251.17,168.38,51.9,3,Q1,34
Perishables,76.45,50.66,112.1,10,Q3,104
Perishables,576.85,431.53,88.8,27,Q3,55
Electronics,680.72,319.56,56.8,20,Q2,40
Automotive,195.34,144.72,19.8,23,Q1,30
Electronics,466.18,241.45,20.3,23,Q4,24
Electronics,816.21,384.83,31.9,17,Q3,18
Raw Materials,699.38,501.12,34.9,27,Q3,30
Raw Materials,385.57,196.48,93.8,21,Q3,74
Automotive,656.43,380.9,112.4,25,Q2,91
Automotive,329.43,173.0,70.1,21,Q1,49
Electronics,342.31,226.56,113.0,10,Q4,125
Perishables,596.43,325.92,46.0,8,Q2,40
Perishables,349.19,214.16,89.2,19,Q3,84
Raw Materials,941.0,617.71,29.9,5,Q4,12
Automotive,942.44,553.87,34.5,14,Q4,23
Automotive,885.05,647.38,40.2,11,Q4,24
Apparel,446.51,267.7,64.5,26,Q2,56
Electronics,723.57,379.04,33.6,12,Q4,37
Electronics,46.26,31.75,41.2,23,Q3,44
Automotive,819.08,526.64,110.5,14,Q3,76
Electronics,704.04,329.44,60.1,23,Q1,37
Raw Materials,149.1,78.95,27.3,3,Q1,10
Raw Materials,707.83,396.62,27.2,26,Q1,17
Electronics,81.18,55.58,84.2,25,Q2,93
Automotive,550.13,257.02,101.8,10,Q1,71
Apparel,129.85,94.44,27.5,7,Q1,13
Perishables,581.31,307.13,84.2,21,Q4,77
Raw Materials,133.97,93.54,46.1,10,Q1,34
Electronics,68.92,35.52,51.5,26,Q3,41
Raw Materials,64.8,38.42,38.8,24,Q3,31
Automotive,366.88,184.52,23.0,19,Q3,21
Apparel,762.48,535.65,49.5,19,Q2,38
Apparel,805.23,550.48,29.7,17,Q3,19
Apparel,390.0,238.78,36.4,23,Q4,44
Automotive,892.77,586.07,31.9,8,Q4,36
Automotive,923.75,537.01,103.7,16,Q3,66
Perishables,743.95,548.13,23.1,5,Q3,16
Raw Materials,541.1,340.37,19.9,18,Q4,8
Perishables,915.66,564.75,58.4,6,Q2,58
Apparel,103.8,65.54,73.4,6,Q4,88
Apparel,686.2,494.95,67.8,10,Q3,50
Electronics,324.88,162.13,113.1,9,Q3,91
Perishables,123.15,80.73,86.1,20,Q1,64
Raw Materials,443.95,213.95,102.5,25,Q2,88
Automotive,808.23,488.81,47.4,11,Q4,35
Perishables,549.06,275.33,117.7,13,Q4,99
Perishables,354.68,194.6,61.3,8,Q1,41
Raw Materials,387.85,218.82,119.0,15,Q3,89
Perishables,894.06,621.95,108.1,21,Q1,56
Raw Materials,537.28,335.71,32.9,4,Q4,38
Automotive,116.56,73.67,99.5,25,Q1,79
Perishables,588.23,412.4,39.7,5,Q1,24
Automotive,883.08,551.14,37.4,24,Q4,26
Electronics,48.82,24.05,16.2,18,Q4,14
Automotive,575.4,362.9,15.7,9,Q2,7
Perishables,527.18,305.86,109.9,10,Q3,82
Raw Materials,427.77,214.01,38.3,19,Q1,28
Raw Materials,783.75,369.05,35.3,18,Q2,31
Automotive,643.14,314.38,91.4,7,Q3,69
Raw Materials,671.36,392.19,75.1,15,Q4,67
Apparel,175.82,117.72,57.8,6,Q4,71
Automotive,91.58,67.73,50.4,15,Q2,52
Apparel,353.78,229.54,46.2,17,Q3,33
Perishables,414.29,280.82,98.0,17,Q4,98
Automotive,81.22,44.92,52.8,13,Q2,54
Raw Materials,286.29,207.74,61.7,12,Q3,59
Electronics,501.45,280.12,95.6,23,Q3,86
Raw Materials,446.26,251.86,74.2,26,Q4,68
Perishables,293.83,208.99,96.8,23,Q2,109
Automotive,270.76,164.82,119.2,13,Q1,99
Automotive,588.25,350.89,28.2,21,Q4,28
Automotive,653.19,323.94,30.9,14,Q3,34
Automotive,563.58,350.14,30.1,8,Q4,35
Apparel,462.3,215.93,80.7,3,Q1,50
Apparel,591.46,292.87,26.9,13,Q4,33
Automotive,206.94,118.32,49.9,14,Q4,51
Electronics,275.32,204.19,59.8,4,Q4,71
Raw Materials,198.93,131.54,116.4,27,Q1,94
Raw Materials,553.17,331.85,72.4,12,Q1,57
Automotive,156.01,79.56,30.8,14,Q2,23
Apparel,859.24,440.23,102.9,3,Q4,105
Automotive,568.89,383.38,43.6,15,Q3,33
Perishables,580.05,432.21,86.9,8,Q1,62
Apparel,801.91,570.79,29.1,16,Q4,28
Raw Materials,631.31,453.89,82.7,22,Q4,76
Perishables,311.89,150.53,89.8,23,Q1,61
Apparel,911.44,528.89,73.1,11,Q3,51
Electronics,389.48,214.26,55.8,7,Q1,38
Raw Materials,127.95,89.17,117.6,17,Q3,98
Apparel,119.76,87.46,76.2,22,Q1,60
Electronics,406.46,222.84,77.2,8,Q4,78
Perishables,371.85,196.5,75.7,7,Q4,63
Raw Materials,427.6,193.1,96.9,15,Q1,73
Raw Materials,738.42,485.69,79.8,17,Q2,55
Automotive,516.44,343.6,76.5,25,Q4,65
Electronics,118.29,86.69,117.4,9,Q3,103
Automotive,309.06,145.33,67.3,4,Q4,67
Raw Materials,320.07,181.13,117.6,3,Q4,125
Perishables,866.04,390.61,88.7,14,Q2,82
Raw Materials,366.35,174.6,91.9,16,Q4,82
Raw Materials,400.3,209.41,47.3,16,Q4,52
Electronics,268.3,191.53,116.8,13,Q2,105
Electronics,500.4,350.99,26.2,19,Q2,29
Raw Materials,404.64,289.5,118.5,26,Q2,112
Raw Materials,401.22,246.1,113.8,27,Q2,91
Electronics,908.65,640.21,42.6,12,Q4,29
Raw Materials,310.6,217.8,19.0,4,Q4,27
Perishables,675.36,462.98,77.5,9,Q1,45
Raw Materials,112.15,65.07,30.6,16,Q4,26
Raw Materials,839.68,489.11,79.5,6,Q3,64
Perishables,760.18,361.29,97.3,6,Q1,63
Apparel,153.15,74.66,49.2,25,Q2,49
Apparel,49.55,23.86,100.0,12,Q2,83
Perishables,351.08,171.27,100.5,14,Q1,63
Automotive,626.0,397.96,28.3,24,Q3,27
Perishables,457.99,240.15,102.7,3,Q3,89
Automotive,280.67,168.1,73.2,26,Q4,75
Automotive,753.81,430.0,41.0,25,Q3,44
Raw Materials,53.04,32.17,101.1,15,Q1,89
Apparel,734.96,435.82,72.0,12,Q2,53
Perishables,207.86,143.28,77.8,17,Q4,74
Apparel,906.7,439.69,103.1,10,Q4,95
Perishables,104.75,60.53,119.4,15,Q1,97
Raw Materials,274.87,196.79,25.3,9,Q2,7
Automotive,900.83,448.03,62.4,26,Q2,51
Raw Materials,935.47,478.08,69.4,16,Q1,47
Electronics,169.73,107.84,45.0,16,Q3,48
Raw Materials,194.58,142.7,58.1,26,Q3,65
Raw Materials,345.19,240.55,19.3,4,Q2,11
Apparel,255.6,184.27,79.8,24,Q2,76
Automotive,342.11,176.36,44.5,15,Q1,45
Perishables,807.82,527.12,116.0,16,Q1,69
Perishables,713.11,403.85,98.9,26,Q2,86
Raw Materials,705.09,439.98,102.4,3,Q3,75
Apparel,602.94,349.36,29.2,24,Q4,43
Perishables,400.36,284.3,91.7,14,Q2,107
Perishables,677.66,388.5,77.3,15,Q3,52
Electronics,636.87,439.67,38.6,15,Q4,48
Raw Materials,676.4,440.22,74.6,23,Q3,54
Apparel,708.87,401.91,61.3,15,Q4,59
Electronics,671.56,466.85,58.6,20,Q3,36
Electronics,260.75,188.42,76.4,13,Q4,95
Electronics,123.19,69.27,53.0,19,Q4,62
Apparel,270.79,150.93,17.4,27,Q4,22
Automotive,610.54,309.84,93.7,27,Q3,68
Electronics,560.63,390.07,34.0,4,Q4,32
Apparel,580.59,332.74,79.6,8,Q4,80
Perishables,119.89,83.74,37.5,27,Q4,30
Electronics,321.01,212.49,17.1,19,Q3,24
Electronics,846.42,518.38,99.8,22,Q3,74
Automotive,709.69,487.89,107.4,11,Q4,91
Electronics,165.24,123.89,29.5,7,Q1,21
Apparel,257.55,134.59,68.8,22,Q2,54
Raw Materials,230.82,105.49,23.8,9,Q1,24
Electronics,178.22,116.1,28.7,25,Q2,22
Electronics,703.67,406.36,91.2,12,Q3,65
Raw Materials,718.15,488.58,70.0,21,Q2,42
Electronics,376.91,197.73,95.3,25,Q2,74
Electronics,861.96,577.32,41.1,21,Q4,32
Raw Materials,481.94,282.52,105.2,15,Q3,84
Automotive,899.97,490.7,20.6,27,Q2,19
Perishables,504.62,360.31,21.7,4,Q3,17
Perishables,778.87,363.17,105.1,24,Q1,68
Apparel,681.59,359.47,82.9,26,Q3,63
Perishables,913.12,625.2,55.3,9,Q1,33
Perishables,801.16,468.94,57.2,20,Q1,50
Perishables,761.69,347.05,89.5,5,Q2,85
Perishables,803.36,440.8,46.9,19,Q4,36
Automotive,82.95,38.29,105.6,17,Q3,97
Perishables,612.96,300.94,96.4,4,Q4,83
Automotive,375.91,241.65,33.0,27,Q2,29
Apparel,70.27,50.14,29.5,27,Q4,35
Apparel,643.46,367.67,59.3,22,Q1,25
Perishables,854.5,422.15,29.4,19,Q4,28
Apparel,641.33,337.4,119.6,19,Q1,74
Apparel,877.83,567.51,74.9,11,Q1,36
Electronics,543.98,324.27,92.9,24,Q3,73
Apparel,149.53,109.12,90.9,20,Q3,80
Raw Materials,260.38,189.58,90.5,3,Q1,69
Raw Materials,875.24,628.06,20.7,4,Q2,19
Automotive,451.5,238.52,85.9,13,Q2,64
Electronics,823.92,403.87,18.3,21,Q2,14
Automotive,938.08,491.2,97.2,24,Q4,73
Electronics,820.35,591.3,71.1,23,Q1,47
Raw Materials,793.05,594.64,114.9,3,Q1,68
Perishables,429.62,314.3,53.1,5,Q1,26
Automotive,804.4,521.41,46.3,20,Q1,28
Electronics,808.33,384.16,81.7,5,Q3,59
Apparel,822.28,575.07,16.4,24,Q4,8
Raw Materials,740.19,347.57,16.5,13,Q3,11
Raw Materials,302.96,192.95,94.2,6,Q4,94
Perishables,677.85,468.88,67.9,19,Q2,59
Electronics,181.75,106.49,98.3,8,Q2,102
Apparel,209.22,97.24,115.3,15,Q4,149
Perishables,902.48,638.63,102.1,25,Q4,81
Apparel,351.76,197.58,81.5,25,Q1,62
Automotive,880.91,443.89,85.5,16,Q2,65
Automotive,175.14,100.02,73.0,6,Q4,73
Automotive,553.6,260.25,88.1,18,Q3,69
Perishables,688.53,476.5,64.6,20,Q3,57
Automotive,327.65,240.26,52.8,7,Q1,33
Electronics,113.33,79.99,72.1,26,Q4,87
Electronics,351.98,252.22,116.4,20,Q4,138
Automotive,714.83,418.89,44.6,25,Q2,25
Raw Materials,874.01,569.54,108.5,11,Q1,66
Raw Materials,906.38,479.13,75.8,26,Q4,48
Perishables,119.27,72.01,116.0,16,Q2,138
Apparel,213.21,101.24,74.7,21,Q1,48
Perishables,434.66,215.36,118.5,5,Q4,107
Apparel,587.26,380.68,99.5,6,Q1,65
Electronics,405.71,222.28,93.6,10,Q4,119
Raw Materials,209.64,110.1,26.8,13,Q2,31
Apparel,386.24,277.38,90.1,6,Q3,73
Automotive,428.67,260.4,116.0,14,Q1,78
Automotive,646.73,385.91,15.1,18,Q2,16
Automotive,929.33,629.43,55.7,25,Q4,35
Perishables,894.23,538.59,95.8,10,Q4,75
Perishables,350.89,194.91,67.2,8,Q4,63
Perishables,598.86,390.61,64.7,10,Q4,52
Perishables,349.4,170.9,23.8,13,Q3,19
Perishables,190.6,102.55,27.5,7,Q3,27
Apparel,300.69,178.78,48.8,10,Q3,46
Apparel,436.21,202.43,88.1,16,Q2,76
Raw Materials,124.37,73.42,91.2,12,Q1,77
Electronics,553.62,315.47,89.3,15,Q1,65
Electronics,922.54,490.52,27.7,4,Q2,11
Perishables,483.36,358.93,66.4,14,Q4,63
Automotive,344.34,204.61,100.4,12,Q4,109
Automotive,291.85,170.01,22.3,20,Q4,17
Electronics,338.37,178.95,105.6,24,Q2,97
Automotive,85.19,47.96,65.9,8,Q2,62
Apparel,511.39,289.32,65.8,9,Q3,58
Raw Materials,802.1,543.87,68.0,12,Q4,59
Automotive,96.37,55.6,98.2,13,Q1,87
Automotive,131.51,83.12,62.2,22,Q2,58
Apparel,559.53,363.84,79.8,26,Q2,60
Raw Materials,943.87,461.96,69.2,6,Q1,38
Electronics,299.54,167.97,45.5,7,Q2,36
Electronics,127.03,79.3,66.0,27,Q1,59
Apparel,189.79,138.7,51.0,21,Q2,42
Raw Materials,864.67,455.66,54.6,20,Q2,39
Raw Materials,112.54,61.34,51.3,26,Q3,58
Apparel,528.98,366.27,80.5,22,Q1,59
Automotive,808.92,491.1,94.8,9,Q4,81
Raw Materials,728.37,442.67,88.1,13,Q1,47
Apparel,945.91,581.66,30.5,15,Q3,18
Perishables,225.22,116.95,103.1,6,Q3,98
Apparel,329.29,246.1,46.7,7,Q1,35
Raw Materials,393.06,196.97,117.6,7,Q2,97
Apparel,445.2,268.71,25.4,16,Q2,16
Electronics,736.44,346.99,18.4,12,Q3,6
Apparel,403.2,273.1,47.0,12,Q4,48
Automotive,769.67,476.92,34.0,23,Q3,14
Electronics,336.86,176.23,66.4,6,Q3,68
Automotive,881.12,599.94,64.8,4,Q3,43
Automotive,147.6,68.46,76.2,26,Q2,79
Raw Materials,678.0,424.96,41.9,9,Q1,23
Perishables,508.19,250.51,90.3,19,Q4,93
Perishables,455.77,276.86,64.9,14,Q3,56
Electronics,115.73,56.84,59.8,25,Q4,64
Raw Materials,225.64,113.28,21.5,23,Q3,27
Raw Materials,323.36,203.55,64.3,19,Q1,55
Raw Materials,311.05,160.5,36.1,15,Q1,36
Raw Materials,108.52,69.16,51.0,4,Q2,37
Apparel,449.72,302.92,69.8,21,Q1,47
Raw Materials,914.89,511.63,23.3,23,Q1,10
Raw Materials,591.37,367.53,97.3,21,Q1,68
Apparel,733.32,353.47,71.2,13,Q2,54
Electronics,853.48,554.13,114.3,23,Q4,100
Raw Materials,452.07,301.26,30.0,7,Q2,27
Perishables,408.52,183.98,101.2,5,Q3,86
Electronics,447.27,237.5,68.6,15,Q3,57
Perishables,275.43,177.88,15.6,11,Q2,24
Perishables,903.02,652.52,115.9,12,Q4,100
Perishables,707.18,319.2,115.4,23,Q3,90
Electronics,843.18,607.85,117.6,6,Q1,71
Apparel,508.8,230.44,29.0,14,Q2,23
Perishables,195.12,123.83,18.0,17,Q1,13
Apparel,507.62,259.4,100.0,15,Q1,79
Apparel,244.19,146.18,30.1,17,Q4,38
Automotive,808.77,587.26,83.7,20,Q1,65
Apparel,262.17,161.23,54.1,4,Q2,46
Electronics,829.02,561.09,115.6,21,Q1,67
Raw Materials,668.01,333.18,108.3,27,Q2,95
Raw Materials,249.59,179.23,55.6,17,Q1,44
Electronics,83.6,38.91,35.2,14,Q2,34
Automotive,444.69,256.6,40.4,19,Q2,43
Electronics,691.55,392.66,67.1,25,Q2,52
Automotive,293.22,185.13,18.2,17,Q2,12
Apparel,458.9,314.22,86.1,24,Q3,80
Automotive,154.34,102.34,43.5,19,Q3,32
Apparel,697.39,521.5,53.5,15,Q4,46
Apparel,101.91,66.75,68.1,26,Q4,76
Apparel,821.07,407.7,87.2,8,Q4,89
Automotive,48.94,30.7,33.5,22,Q3,25
Automotive,444.21,314.89,45.9,5,Q2,40
Apparel,872.74,613.62,60.3,10,Q4,52
Apparel,41.89,28.14,90.8,13,Q1,87
Automotive,444.61,329.85,66.7,15,Q2,62
Electronics,153.4,85.02,42.1,4,Q1,23
Apparel,829.61,446.09,96.5,16,Q2,72
Raw Materials,143.71,80.02,75.6,10,Q4,84
Apparel,71.28,39.8,105.9,23,Q3,99
Automotive,281.25,174.49,98.5,14,Q1,77
Automotive,838.19,495.82,43.1,11,Q1,21
Raw Materials,829.88,416.22,82.5,26,Q2,56
Apparel,161.52,102.4,116.8,4,Q4,146
Automotive,501.37,289.97,82.1,24,Q3,60
Apparel,886.91,658.63,91.2,13,Q1,40
Automotive,99.4,50.04,107.3,20,Q3,105
Electronics,869.75,537.74,37.3,5,Q2,21
Automotive,98.46,56.34,20.8,12,Q2,28
Automotive,290.4,183.13,21.9,23,Q2,18
Electronics,932.75,514.37,84.5,23,Q2,56
Apparel,153.98,85.2,16.3,3,Q3,14
Raw Materials,691.32,316.74,63.2,18,Q1,43
Automotive,262.64,163.78,113.5,16,Q4,117
Electronics,541.02,374.52,41.7,23,Q2,37
Raw Materials,507.76,288.55,51.0,20,Q4,50
Electronics,123.13,64.4,34.6,24,Q4,42
Electronics,804.72,599.31,75.1,18,Q2,47
Apparel,337.33,217.62,116.5,26,Q1,92
Raw Materials,691.21,375.96,36.6,12,Q4,39
Electronics,154.76,110.04,94.7,27,Q3,90
Raw Materials,352.4,229.57,75.8,8,Q2,69
Apparel,751.13,404.87,100.0,25,Q2,78
Raw Materials,622.81,408.41,18.5,3,Q1,15
Electronics,191.52,102.72,37.9,13,Q4,53
Electronics,53.33,25.26,67.6,26,Q4,89
Perishables,627.79,426.99,75.3,18,Q2,83
Perishables,869.59,410.09,118.3,15,Q2,108
Automotive,308.28,198.42,102.5,25,Q3,90
Automotive,218.97,102.0,110.2,4,Q3,104
Raw Materials,536.56,292.32,46.7,15,Q4,47
Automotive,507.07,363.99,28.7,21,Q3,12
Apparel,219.44,158.15,24.1,6,Q4,27
Electronics,372.97,254.06,86.7,6,Q3,82
Apparel,75.5,46.3,68.6,18,Q3,69
Perishables,663.94,452.89,108.1,17,Q2,99
Perishables,243.49,120.01,55.2,20,Q4,46
Raw Materials,322.44,168.11,62.2,12,Q3,55
Electronics,907.08,615.18,41.5,19,Q4,36
Apparel,616.19,328.85,48.2,17,Q2,41
Apparel,659.31,435.23,30.3,20,Q4,36
Raw Materials,785.91,353.81,23.1,8,Q3,17
Electronics,918.56,436.55,95.9,14,Q1,52
Raw Materials,751.37,517.6,50.9,11,Q2,36
Perishables,613.01,383.23,110.1,15,Q3,84
Apparel,170.7,94.33,97.6,14,Q4,129
Automotive,318.36,192.63,89.4,12,Q4,87
Perishables,946.56,575.17,60.4,26,Q3,51
Raw Materials,581.83,281.62,90.1,19,Q3,65
Apparel,610.36,452.5,106.7,14,Q3,95
Automotive,354.19,247.29,107.6,10,Q3,93
Perishables,47.84,35.6,69.4,21,Q2,91
Apparel,424.64,227.01,107.2,21,Q1,82
Automotive,201.87,130.1,80.9,12,Q1,60
Electronics,418.22,281.26,18.1,15,Q3,11
Automotive,90.71,43.22,119.5,15,Q2,98
Electronics,158.91,105.31,99.1,8,Q2,98
Electronics,462.18,312.55,102.3,8,Q2,95
Automotive,525.08,294.33,109.4,24,Q4,94
Apparel,457.42,318.14,38.1,25,Q3,30
Raw Materials,409.76,193.42,112.9,21,Q3,92
Perishables,646.43,429.47,90.1,19,Q2,88
Electronics,199.05,110.59,45.4,13,Q4,61
Apparel,852.15,619.01,17.6,4,Q4,23
Perishables,525.31,237.02,103.8,16,Q4,90
Automotive,881.81,564.5,116.4,19,Q4,80
Perishables,348.04,260.29,105.1,8,Q4,101
Electronics,68.68,49.0,47.4,24,Q1,38
Apparel,777.95,490.03,29.6,12,Q3,21
Apparel,651.84,354.11,37.6,22,Q3,38
Raw Materials,237.56,139.54,104.3,25,Q1,69
Electronics,288.92,182.05,115.8,21,Q3,111
Perishables,170.19,126.92,16.5,11,Q2,25
Apparel,907.52,434.74,67.4,22,Q2,50
Raw Materials,662.84,397.06,49.0,8,Q3,31
Apparel,233.86,132.76,116.0,27,Q4,147
Apparel,572.29,383.51,99.4,27,Q3,84
Apparel,454.01,237.88,69.7,10,Q4,80
Raw Materials,781.66,525.12,104.6,15,Q3,76
Raw Materials,157.3,84.0,80.4,20,Q3,76
Automotive,674.05,485.99,39.7,7,Q1,30
Automotive,828.6,473.9,59.9,25,Q4,51
Automotive,677.32,353.79,76.0,16,Q1,53
Apparel,398.71,197.58,50.8,9,Q2,44
Electronics,797.07,501.31,113.1,3,Q2,74
Perishables,590.16,349.18,26.2,27,Q2,28
Apparel,136.7,70.6,18.7,19,Q4,21
Raw Materials,311.63,170.86,54.6,13,Q1,45
Electronics,492.74,328.76,36.6,27,Q4,34
Raw Materials,746.04,483.72,114.3,3,Q1,77
Automotive,570.92,348.95,35.8,27,Q2,31
Perishables,864.38,615.45,69.5,19,Q4,51
Automotive,218.34,101.94,92.1,24,Q3,85
Automotive,872.37,525.11,118.9,5,Q4,97
Automotive,520.54,358.85,55.3,5,Q3,49
Raw Materials,702.06,502.29,44.9,17,Q1,32
Apparel,728.24,428.28,16.9,14,Q3,21
Perishables,769.66,469.56,118.0,26,Q4,102
Apparel,147.39,77.09,17.9,20,Q2,20
Raw Materials,531.6,390.67,68.1,16,Q3,56
Electronics,716.45,381.87,84.9,21,Q1,52
Automotive,704.23,340.41,62.3,16,Q1,35
Perishables,555.53,308.4,20.5,20,Q3,11
Automotive,845.86,631.85,32.9,14,Q1,11
Automotive,330.12,188.81,67.4,19,Q2,63
Perishables,121.74,81.92,88.2,26,Q4,96
Automotive,949.86,711.77,31.4,24,Q1,18
Apparel,877.24,486.8,95.6,5,Q2,70
Raw Materials,480.16,314.66,86.6,26,Q2,71
Perishables,887.81,637.94,31.1,4,Q3,16
Automotive,177.78,90.75,35.0,10,Q2,29
Apparel,150.45,68.34,52.3,20,Q1,41
Raw Materials,43.6,26.15,54.8,17,Q4,56
Perishables,395.53,217.64,25.0,9,Q2,21
Perishables,713.86,373.29,32.8,20,Q1,25
Raw Materials,546.72,263.76,50.4,17,Q4,50
Automotive,404.3,236.53,85.7,23,Q2,71
Perishables,213.42,130.49,67.6,18,Q2,76
Perishables,350.26,168.18,112.5,4,Q2,131
Raw Materials,633.98,426.86,103.6,3,Q4,88
Apparel,552.02,287.79,55.3,13,Q2,51
Electronics,117.48,77.43,55.9,25,Q3,54
Apparel,943.29,509.85,51.8,5,Q3,29
Perishables,679.91,505.51,96.7,5,Q2,102
Apparel,382.33,244.62,99.9,17,Q1,73
Apparel,292.55,137.49,75.6,15,Q1,64
Apparel,66.66,37.64,52.8,27,Q4,65
Automotive,648.49,425.0,64.0,13,Q1,41
Electronics,74.19,39.68,43.1,24,Q1,40
Electronics,212.84,130.21,41.0,14,Q1,27
Raw Materials,632.38,317.86,101.7,6,Q3,89
Perishables,199.55,149.06,96.5,25,Q2,116
Automotive,531.9,325.81,47.7,15,Q3,38
Electronics,532.85,299.02,76.1,20,Q3,58
Electronics,795.48,438.15,35.2,11,Q4,36
Raw Materials,668.06,371.65,63.3,17,Q2,54
Perishables,942.57,631.68,74.3,25,Q2,71
Electronics,670.99,303.83,74.0,18,Q3,62
Raw Materials,819.82,446.59,106.7,20,Q1,67
Apparel,312.32,164.14,36.5,14,Q3,45
Electronics,154.31,101.34,55.5,18,Q1,49
Automotive,847.57,600.77,42.5,4,Q2,34
Electronics,182.78,85.13,97.4,10,Q2,100
Perishables,269.45,162.41,96.3,23,Q3,91
Raw Materials,542.96,388.53,89.3,18,Q2,73
Automotive,949.52,534.85,21.7,3,Q2,12
Raw Materials,805.4,363.19,18.4,19,Q3,5
Raw Materials,356.03,238.7,107.7,14,Q3,105
Automotive,482.94,260.45,71.5,15,Q3,54
Perishables,629.24,289.02,112.1,17,Q1,79
Electronics,146.53,86.68,91.4,23,Q3,100
Perishables,923.1,661.2,114.8,18,Q4,85
Perishables,426.18,228.26,21.9,14,Q3,10
Raw Materials,443.77,214.17,17.7,25,Q3,12
Automotive,750.23,517.39,118.3,3,Q4,101
Electronics,294.2,189.86,20.5,7,Q4,28
Electronics,809.41,413.02,93.5,15,Q3,64
Automotive,913.4,499.77,119.8,7,Q4,87
Raw Materials,800.07,512.36,105.1,15,Q1,70
Apparel,95.82,51.33,34.8,6,Q1,21
Electronics,920.27,616.05,117.8,9,Q1,70
Automotive,716.68,376.2,69.8,3,Q4,75
Electronics,47.73,24.9,44.9,16,Q1,31
Apparel,212.84,107.35,73.8,23,Q1,54
Electronics,720.24,421.39,23.2,3,Q4,25
Raw Materials,382.37,180.6,107.6,5,Q1,80
Automotive,713.0,516.22,61.0,20,Q1,35
Automotive,267.4,171.97,46.7,16,Q3,42
Perishables,817.5,429.43,110.5,18,Q4,89
Electronics,446.18,260.92,53.4,25,Q3,44
Electronics,516.19,369.06,101.0,13,Q4,111
Perishables,735.33,496.83,85.6,8,Q2,83
Electronics,221.7,141.58,91.2,10,Q4,126
Perishables,532.15,268.47,45.0,6,Q2,48
Perishables,354.55,186.85,58.3,9,Q4,61
Electronics,621.83,403.32,41.9,25,Q2,33
Raw Materials,656.69,447.85,66.9,13,Q3,52
Apparel,857.72,412.67,108.7,17,Q2,72
Automotive,438.6,275.17,40.1,4,Q2,27
Automotive,703.77,409.65,61.4,26,Q2,47
Apparel,719.27,346.65,22.6,26,Q4,19
Electronics,628.19,306.56,21.6,13,Q3,19
Apparel,592.8,351.56,73.3,24,Q4,82
Perishables,826.61,543.24,70.6,7,Q2,61
Automotive,360.06,211.34,98.9,22,Q2,91
Automotive,714.2,393.84,79.1,26,Q2,53
Automotive,317.12,235.47,54.8,9,Q1,48
Electronics,886.23,519.75,38.9,6,Q1,21
Raw Materials,493.36,305.09,101.5,20,Q3,78
Apparel,578.08,279.76,101.9,9,Q1,74
Apparel,582.42,421.15,24.4,10,Q1,16
Raw Materials,243.48,114.43,31.3,26,Q1,31
Raw Materials,685.01,477.2,113.5,26,Q1,78
Perishables,824.28,500.23,107.6,3,Q1,70
Raw Materials,720.31,324.19,45.2,7,Q2,49
Raw Materials,449.12,224.08,111.1,25,Q1,83
Raw Materials,97.5,55.63,21.8,8,Q2,18
Apparel,831.72,465.07,78.4,24,Q3,61
Automotive,53.67,35.22,20.7,12,Q2,29
Raw Materials,289.71,182.52,113.6,25,Q4,100
Electronics,541.0,271.71,28.1,24,Q1,17
Electronics,271.74,122.43,25.3,15,Q1,7
Automotive,91.96,65.92,53.3,12,Q1,52
Electronics,427.95,278.12,96.3,20,Q2,80
Electronics,646.54,328.27,28.7,4,Q4,34
Perishables,685.9,415.2,112.9,12,Q2,109
Automotive,778.11,537.54,28.1,12,Q1,21
Apparel,392.74,256.47,109.9,12,Q2,94
Perishables,373.64,210.83,45.3,23,Q4,35
Apparel,405.14,199.93,112.8,17,Q1,69
Perishables,750.97,558.86,92.2,13,Q1,60
Automotive,245.8,119.99,70.9,12,Q3,69
Apparel,326.61,214.93,115.6,11,Q3,112
Automotive,818.89,507.38,34.0,4,Q2,21
Automotive,281.68,146.43,22.9,11,Q4,26
