carrier_name,distance_km,transit_days_expected,traffic_congestion,weather_impact_score,order_priority,is_delayed
FedEx Freight,2967.4,5,MEDIUM,0.95,MEDIUM,1
DHL Express Global,1345.8,4,MEDIUM,0.89,MEDIUM,0
DHL Express Global,452.6,2,MEDIUM,0.83,HIGH,1
FedEx Freight,1478.5,3,MEDIUM,0.99,URGENT,1
FedEx Freight,903.1,2,MEDIUM,0.53,LOW,1
FedEx Freight,1128.8,2,MEDIUM,0.28,HIGH,0
FedEx Freight,2946.3,5,LOW,0.65,LOW,1
DHL Express Global,3002.5,7,HIGH,0.04,LOW,1
UPS Supply Chain Solutions,928.9,2,LOW,0.13,LOW,0
FedEx Freight,1509.5,3,LOW,0.38,URGENT,0
Maersk Intermodal,1195.6,3,HIGH,0.12,MEDIUM,0
Maersk Intermodal,1021.5,2,MEDIUM,0.13,LOW,1
UPS Supply Chain Solutions,875.0,3,HIGH,0.49,MEDIUM,1
DHL Express Global,1736.7,3,HIGH,0.56,LOW,1
FedEx Freight,2038.4,4,LOW,0.48,LOW,0
DHL Express Global,2482.0,5,HIGH,0.93,HIGH,1
Maersk Intermodal,2370.8,5,HIGH,0.81,LOW,1
Maersk Intermodal,449.7,2,HIGH,0.72,URGENT,0
UPS Supply Chain Solutions,2940.7,5,MEDIUM,0.51,MEDIUM,1
Maersk Intermodal,3484.0,6,MEDIUM,0.07,HIGH,0
Maersk Intermodal,2538.0,5,MEDIUM,0.26,URGENT,0
UPS Supply Chain Solutions,377.6,1,MEDIUM,0.96,MEDIUM,1
UPS Supply Chain Solutions,3341.4,7,LOW,0.55,MEDIUM,1
Maersk Intermodal,1336.3,3,HIGH,0.7,URGENT,1
UPS Supply Chain Solutions,2862.3,6,MEDIUM,0.43,URGENT,1
DHL Express Global,319.8,2,MEDIUM,0.59,LOW,0
Maersk Intermodal,537.7,2,LOW,0.4,LOW,1
UPS Supply Chain Solutions,1607.1,4,HIGH,0.58,LOW,0
DHL Express Global,2804.1,5,LOW,0.97,HIGH,0
UPS Supply Chain Solutions,865.9,3,HIGH,0.22,LOW,1
UPS Supply Chain Solutions,2296.6,4,HIGH,0.66,URGENT,0
Maersk Intermodal,3162.7,6,LOW,0.24,MEDIUM,1
Maersk Intermodal,996.6,3,HIGH,0.77,MEDIUM,0
FedEx Freight,650.2,2,MEDIUM,0.84,LOW,1
UPS Supply Chain Solutions,2455.8,5,HIGH,0.67,URGENT,1
Maersk Intermodal,3460.5,6,HIGH,0.92,URGENT,1
UPS Supply Chain Solutions,2161.6,4,MEDIUM,0.56,LOW,1
FedEx Freight,1548.8,4,LOW,0.63,LOW,1
FedEx Freight,1978.2,4,MEDIUM,0.13,URGENT,0
DHL Express Global,2500.6,6,MEDIUM,0.45,LOW,1
UPS Supply Chain Solutions,416.4,1,HIGH,0.8,HIGH,1
FedEx Freight,3297.0,7,MEDIUM,0.01,URGENT,1
Maersk Intermodal,3273.8,6,LOW,0.3,MEDIUM,0
Maersk Intermodal,2661.4,5,MEDIUM,0.06,LOW,1
UPS Supply Chain Solutions,1911.8,5,HIGH,0.69,MEDIUM,1
Maersk Intermodal,3712.1,7,LOW,0.4,HIGH,0
UPS Supply Chain Solutions,2856.7,5,MEDIUM,0.01,URGENT,0
Maersk Intermodal,1011.0,3,MEDIUM,0.13,HIGH,0
UPS Supply Chain Solutions,2284.8,4,HIGH,0.82,HIGH,1
FedEx Freight,3728.0,8,MEDIUM,0.45,MEDIUM,1
UPS Supply Chain Solutions,2377.6,5,MEDIUM,0.57,URGENT,0
DHL Express Global,1658.2,4,MEDIUM,0.52,LOW,1
FedEx Freight,3505.6,7,LOW,0.24,LOW,0
UPS Supply Chain Solutions,3191.9,7,LOW,0.33,URGENT,0
FedEx Freight,2693.6,5,LOW,0.69,MEDIUM,0
FedEx Freight,2674.6,6,MEDIUM,0.36,URGENT,0
DHL Express Global,780.3,2,LOW,0.55,URGENT,0
UPS Supply Chain Solutions,650.1,2,MEDIUM,0.25,MEDIUM,1
Maersk Intermodal,1605.0,3,LOW,0.86,MEDIUM,1
UPS Supply Chain Solutions,1937.5,4,MEDIUM,0.15,HIGH,0
UPS Supply Chain Solutions,1705.3,3,MEDIUM,0.28,LOW,0
UPS Supply Chain Solutions,3613.8,7,MEDIUM,0.84,MEDIUM,1
UPS Supply Chain Solutions,409.0,2,HIGH,0.31,MEDIUM,1
UPS Supply Chain Solutions,2590.1,5,MEDIUM,0.72,MEDIUM,1
DHL Express Global,745.7,3,HIGH,0.45,HIGH,1
DHL Express Global,1452.0,3,LOW,0.87,LOW,0
UPS Supply Chain Solutions,1224.9,3,LOW,0.07,URGENT,0
UPS Supply Chain Solutions,3292.2,6,LOW,0.51,MEDIUM,0
UPS Supply Chain Solutions,1618.6,4,LOW,0.5,MEDIUM,1
UPS Supply Chain Solutions,2203.6,4,LOW,0.29,URGENT,0
UPS Supply Chain Solutions,1030.9,2,MEDIUM,0.36,URGENT,0
FedEx Freight,2842.5,6,MEDIUM,0.99,HIGH,0
DHL Express Global,678.7,3,LOW,0.65,MEDIUM,0
FedEx Freight,2084.6,4,MEDIUM,0.23,HIGH,0
FedEx Freight,1043.5,2,MEDIUM,0.65,HIGH,1
Maersk Intermodal,1459.9,4,MEDIUM,0.64,MEDIUM,1
Maersk Intermodal,1762.7,3,HIGH,0.4,URGENT,0
FedEx Freight,2217.5,4,MEDIUM,0.03,LOW,0
Maersk Intermodal,1513.2,4,LOW,0.29,HIGH,1
DHL Express Global,2442.5,6,MEDIUM,0.63,HIGH,1
Maersk Intermodal,2891.8,5,LOW,0.18,MEDIUM,0
FedEx Freight,2607.9,5,LOW,0.03,MEDIUM,0
Maersk Intermodal,2704.3,6,MEDIUM,0.3,LOW,0
UPS Supply Chain Solutions,688.7,2,HIGH,0.71,MEDIUM,0
DHL Express Global,1509.0,4,HIGH,0.79,HIGH,0
Maersk Intermodal,1888.5,5,LOW,0.33,MEDIUM,0
FedEx Freight,2327.4,4,MEDIUM,0.46,MEDIUM,0
DHL Express Global,1259.6,4,HIGH,0.84,HIGH,0
FedEx Freight,3115.9,7,HIGH,0.6,MEDIUM,1
FedEx Freight,913.1,2,MEDIUM,0.16,URGENT,1
DHL Express Global,2878.5,6,MEDIUM,0.49,HIGH,1
FedEx Freight,2386.5,4,LOW,0.52,HIGH,1
FedEx Freight,2343.1,5,MEDIUM,0.55,URGENT,0
UPS Supply Chain Solutions,2449.1,6,LOW,0.45,MEDIUM,1
FedEx Freight,563.1,1,LOW,0.99,MEDIUM,1
UPS Supply Chain Solutions,433.0,1,MEDIUM,0.81,HIGH,1
FedEx Freight,2114.9,4,MEDIUM,0.07,HIGH,0
Maersk Intermodal,2449.2,6,LOW,0.91,LOW,1
DHL Express Global,486.7,1,LOW,0.45,URGENT,0
DHL Express Global,1324.9,4,HIGH,0.5,LOW,1
UPS Supply Chain Solutions,3714.0,7,LOW,0.9,MEDIUM,0
Maersk Intermodal,1114.1,2,LOW,0.62,HIGH,0
DHL Express Global,2021.0,5,MEDIUM,0.68,LOW,0
FedEx Freight,563.5,1,MEDIUM,0.1,URGENT,0
Maersk Intermodal,1929.7,5,LOW,0.55,MEDIUM,1
DHL Express Global,3720.2,8,LOW,0.07,HIGH,0
FedEx Freight,2467.0,5,LOW,0.99,MEDIUM,0
UPS Supply Chain Solutions,3294.6,6,LOW,0.88,URGENT,1
Maersk Intermodal,2458.5,5,HIGH,0.67,LOW,1
DHL Express Global,2172.8,5,MEDIUM,0.32,MEDIUM,0
Maersk Intermodal,1348.1,3,HIGH,0.41,MEDIUM,1
UPS Supply Chain Solutions,3018.9,7,LOW,0.17,HIGH,0
UPS Supply Chain Solutions,2294.4,5,LOW,0.93,URGENT,1
FedEx Freight,1667.6,3,HIGH,0.62,URGENT,1
Maersk Intermodal,1055.9,2,LOW,0.42,HIGH,1
UPS Supply Chain Solutions,2974.0,5,LOW,0.38,LOW,0
FedEx Freight,2486.6,6,MEDIUM,0.26,MEDIUM,0
Maersk Intermodal,2397.1,4,HIGH,0.21,HIGH,1
Maersk Intermodal,1311.5,4,HIGH,0.27,URGENT,1
UPS Supply Chain Solutions,903.4,2,LOW,0.82,HIGH,1
FedEx Freight,1612.7,4,LOW,0.42,LOW,0
Maersk Intermodal,3695.2,7,HIGH,0.89,MEDIUM,1
UPS Supply Chain Solutions,538.8,2,MEDIUM,0.11,MEDIUM,0
DHL Express Global,2445.4,6,LOW,0.09,LOW,0
UPS Supply Chain Solutions,3207.9,7,MEDIUM,0.79,HIGH,0
UPS Supply Chain Solutions,1432.5,3,HIGH,0.86,MEDIUM,0
UPS Supply Chain Solutions,720.3,2,LOW,0.19,HIGH,0
Maersk Intermodal,1184.4,3,HIGH,0.5,MEDIUM,0
UPS Supply Chain Solutions,3065.8,7,MEDIUM,0.77,LOW,1
UPS Supply Chain Solutions,475.7,2,MEDIUM,0.15,LOW,0
DHL Express Global,2977.5,5,LOW,0.4,LOW,0
UPS Supply Chain Solutions,3491.1,6,HIGH,0.86,MEDIUM,1
UPS Supply Chain Solutions,351.5,2,MEDIUM,0.5,MEDIUM,0
UPS Supply Chain Solutions,1019.7,2,HIGH,0.88,URGENT,1
FedEx Freight,3662.6,7,MEDIUM,0.87,HIGH,1
UPS Supply Chain Solutions,2400.4,5,LOW,0.26,URGENT,0
Maersk Intermodal,2531.7,5,LOW,1.0,URGENT,1
FedEx Freight,1060.4,2,LOW,0.12,HIGH,0
UPS Supply Chain Solutions,1673.4,4,LOW,0.1,HIGH,0
DHL Express Global,3033.4,6,MEDIUM,0.7,LOW,1
DHL Express Global,1227.8,4,HIGH,0.46,LOW,1
FedEx Freight,2560.7,6,LOW,0.06,LOW,0
Maersk Intermodal,1414.0,3,MEDIUM,0.33,MEDIUM,1
DHL Express Global,3215.0,7,MEDIUM,0.15,HIGH,1
FedEx Freight,2318.4,4,HIGH,0.69,MEDIUM,1
UPS Supply Chain Solutions,3036.0,7,MEDIUM,0.79,HIGH,1
FedEx Freight,600.4,3,MEDIUM,0.29,HIGH,0
Maersk Intermodal,3765.4,8,MEDIUM,0.43,MEDIUM,1
Maersk Intermodal,1443.5,4,MEDIUM,0.71,HIGH,1
Maersk Intermodal,1456.1,3,MEDIUM,0.4,HIGH,1
UPS Supply Chain Solutions,1892.2,4,HIGH,0.85,URGENT,1
UPS Supply Chain Solutions,2885.9,6,MEDIUM,0.51,MEDIUM,1
DHL Express Global,1432.0,4,LOW,0.34,MEDIUM,0
UPS Supply Chain Solutions,3772.6,8,MEDIUM,0.82,HIGH,0
Maersk Intermodal,1388.5,4,LOW,0.65,MEDIUM,0
FedEx Freight,2628.9,5,LOW,0.08,MEDIUM,0
FedEx Freight,1246.5,3,MEDIUM,0.79,MEDIUM,0
UPS Supply Chain Solutions,3752.2,7,MEDIUM,0.89,LOW,0
Maersk Intermodal,3436.8,7,LOW,0.59,HIGH,0
DHL Express Global,2456.3,5,LOW,0.95,LOW,1
UPS Supply Chain Solutions,1712.9,4,MEDIUM,0.66,HIGH,0
UPS Supply Chain Solutions,612.4,2,MEDIUM,0.62,URGENT,1
FedEx Freight,1753.0,3,MEDIUM,0.68,URGENT,1
Maersk Intermodal,2002.5,4,MEDIUM,0.11,URGENT,0
FedEx Freight,2522.5,5,MEDIUM,0.88,MEDIUM,0
FedEx Freight,1170.5,2,MEDIUM,0.78,MEDIUM,0
FedEx Freight,1298.1,3,MEDIUM,0.13,LOW,0
UPS Supply Chain Solutions,684.0,2,MEDIUM,0.16,HIGH,1
Maersk Intermodal,2301.5,5,LOW,0.8,LOW,1
UPS Supply Chain Solutions,3178.5,6,LOW,0.63,MEDIUM,0
UPS Supply Chain Solutions,2634.4,5,HIGH,0.64,LOW,1
FedEx Freight,563.6,1,LOW,0.47,URGENT,0
UPS Supply Chain Solutions,2573.3,5,MEDIUM,0.47,URGENT,1
DHL Express Global,1879.1,4,MEDIUM,0.94,MEDIUM,0
Maersk Intermodal,909.6,3,LOW,0.28,MEDIUM,0
UPS Supply Chain Solutions,586.0,2,MEDIUM,0.87,URGENT,0
FedEx Freight,2277.9,5,LOW,0.31,MEDIUM,1
FedEx Freight,3501.3,6,LOW,0.29,MEDIUM,1
DHL Express Global,1274.7,3,MEDIUM,0.22,HIGH,0
UPS Supply Chain Solutions,1741.6,3,MEDIUM,0.98,URGENT,0
DHL Express Global,482.1,1,MEDIUM,0.17,MEDIUM,1
UPS Supply Chain Solutions,3509.7,7,LOW,0.05,LOW,0
Maersk Intermodal,3274.5,7,MEDIUM,0.01,MEDIUM,1
FedEx Freight,1231.8,4,HIGH,0.44,HIGH,1
UPS Supply Chain Solutions,676.2,2,MEDIUM,0.32,LOW,1
FedEx Freight,630.0,3,MEDIUM,0.86,MEDIUM,0
FedEx Freight,827.3,3,MEDIUM,0.25,LOW,1
Maersk Intermodal,1691.1,3,LOW,0.37,MEDIUM,0
FedEx Freight,2930.7,5,MEDIUM,0.59,URGENT,0
UPS Supply Chain Solutions,3148.9,7,LOW,0.25,LOW,0
FedEx Freight,1294.5,3,MEDIUM,0.26,URGENT,1
FedEx Freight,793.1,3,MEDIUM,0.48,HIGH,0
FedEx Freight,1723.5,3,LOW,0.66,HIGH,1
FedEx Freight,694.4,2,LOW,0.53,URGENT,1
DHL Express Global,2445.5,5,HIGH,0.91,LOW,1
DHL Express Global,3140.1,7,LOW,0.33,URGENT,1
Maersk Intermodal,2258.7,4,LOW,0.26,URGENT,0
Maersk Intermodal,2360.3,4,LOW,0.01,HIGH,0
DHL Express Global,2969.9,5,HIGH,0.25,URGENT,1
Maersk Intermodal,914.7,2,LOW,0.81,LOW,1
Maersk Intermodal,2843.9,6,HIGH,0.37,MEDIUM,1
FedEx Freight,1438.9,3,MEDIUM,0.3,LOW,0
UPS Supply Chain Solutions,1268.2,3,MEDIUM,0.94,LOW,1
Maersk Intermodal,2812.0,5,MEDIUM,0.82,MEDIUM,1
FedEx Freight,994.4,3,HIGH,0.76,LOW,1
FedEx Freight,3440.5,7,LOW,0.02,LOW,0
Maersk Intermodal,2732.6,5,MEDIUM,0.36,MEDIUM,0
FedEx Freight,3070.5,6,MEDIUM,0.19,MEDIUM,0
Maersk Intermodal,1636.0,4,MEDIUM,0.56,URGENT,1
FedEx Freight,484.9,2,LOW,0.59,LOW,1
FedEx Freight,1955.2,4,LOW,0.59,HIGH,1
DHL Express Global,308.8,2,LOW,0.98,URGENT,1
Maersk Intermodal,1749.4,4,MEDIUM,0.14,URGENT,0
Maersk Intermodal,984.9,3,LOW,0.79,URGENT,1
Maersk Intermodal,3613.7,7,MEDIUM,0.42,URGENT,1
UPS Supply Chain Solutions,3516.0,7,HIGH,0.46,MEDIUM,0
Maersk Intermodal,3421.5,7,LOW,0.45,LOW,0
Maersk Intermodal,3394.2,7,MEDIUM,0.49,HIGH,1
UPS Supply Chain Solutions,743.3,2,LOW,0.21,HIGH,0
FedEx Freight,1938.2,4,HIGH,0.93,LOW,1
Maersk Intermodal,789.0,3,MEDIUM,0.34,HIGH,0
Maersk Intermodal,2628.2,6,LOW,0.56,LOW,1
UPS Supply Chain Solutions,2144.4,4,MEDIUM,0.67,HIGH,1
UPS Supply Chain Solutions,2943.0,6,HIGH,0.79,LOW,1
FedEx Freight,1239.1,3,LOW,0.95,HIGH,1
DHL Express Global,2111.8,4,MEDIUM,0.49,HIGH,1
FedEx Freight,3351.6,6,HIGH,0.01,LOW,1
FedEx Freight,436.4,2,HIGH,0.28,LOW,0
DHL Express Global,2337.0,5,HIGH,0.55,URGENT,1
UPS Supply Chain Solutions,707.9,3,LOW,0.84,HIGH,0
FedEx Freight,3596.9,6,HIGH,0.21,MEDIUM,0
FedEx Freight,1800.0,4,MEDIUM,0.01,HIGH,0
UPS Supply Chain Solutions,2277.5,5,HIGH,0.53,MEDIUM,1
UPS Supply Chain Solutions,2812.0,5,MEDIUM,0.06,URGENT,1
UPS Supply Chain Solutions,2769.0,6,LOW,0.76,HIGH,1
Maersk Intermodal,2147.7,5,MEDIUM,0.19,LOW,0
FedEx Freight,715.9,3,LOW,0.42,MEDIUM,1
DHL Express Global,3426.0,7,MEDIUM,0.45,LOW,1
UPS Supply Chain Solutions,932.2,3,LOW,0.24,MEDIUM,0
FedEx Freight,2485.2,5,HIGH,0.11,LOW,0
UPS Supply Chain Solutions,2515.3,6,MEDIUM,0.06,LOW,1
DHL Express Global,2847.5,6,LOW,0.07,HIGH,0
DHL Express Global,568.4,1,HIGH,0.01,HIGH,1
Maersk Intermodal,3480.4,6,HIGH,0.11,LOW,1
FedEx Freight,843.6,3,HIGH,0.37,URGENT,0
UPS Supply Chain Solutions,360.1,2,HIGH,0.19,MEDIUM,0
UPS Supply Chain Solutions,3168.3,6,LOW,0.18,HIGH,1
Maersk Intermodal,2888.0,5,LOW,0.32,MEDIUM,0
UPS Supply Chain Solutions,1266.5,4,HIGH,0.58,MEDIUM,0
Maersk Intermodal,2663.7,6,LOW,0.43,MEDIUM,1
FedEx Freight,693.9,2,LOW,0.36,MEDIUM,0
DHL Express Global,448.3,1,MEDIUM,0.37,MEDIUM,0
DHL Express Global,2215.4,4,MEDIUM,0.95,URGENT,1
UPS Supply Chain Solutions,2556.5,5,HIGH,0.15,URGENT,1
FedEx Freight,3530.8,7,HIGH,0.58,MEDIUM,1
UPS Supply Chain Solutions,1261.0,3,LOW,0.58,MEDIUM,0
Maersk Intermodal,839.0,3,HIGH,0.36,MEDIUM,0
FedEx Freight,2261.7,5,MEDIUM,0.27,URGENT,0
UPS Supply Chain Solutions,3605.5,8,HIGH,0.63,MEDIUM,1
Maersk Intermodal,3237.8,7,MEDIUM,0.19,MEDIUM,0
Maersk Intermodal,1339.2,3,LOW,0.34,LOW,0
FedEx Freight,1704.6,4,LOW,0.98,HIGH,1
DHL Express Global,748.1,3,LOW,0.05,URGENT,1
DHL Express Global,1016.9,3,HIGH,0.77,LOW,0
FedEx Freight,3224.6,7,HIGH,0.97,LOW,1
FedEx Freight,2139.7,4,LOW,0.48,MEDIUM,0
DHL Express Global,987.5,3,HIGH,0.21,HIGH,1
Maersk Intermodal,532.5,1,MEDIUM,0.36,URGENT,1
FedEx Freight,1679.9,4,LOW,0.67,MEDIUM,0
FedEx Freight,1741.9,3,MEDIUM,0.68,HIGH,1
UPS Supply Chain Solutions,1125.4,3,HIGH,0.28,HIGH,0
Maersk Intermodal,693.0,3,MEDIUM,0.16,URGENT,0
DHL Express Global,3536.0,6,LOW,0.0,HIGH,1
FedEx Freight,518.1,2,MEDIUM,0.26,HIGH,1
UPS Supply Chain Solutions,1346.9,4,MEDIUM,0.1,LOW,0
Maersk Intermodal,1684.8,3,LOW,0.59,MEDIUM,0
Maersk Intermodal,3216.9,6,HIGH,0.22,URGENT,1
Maersk Intermodal,1767.2,3,HIGH,0.19,MEDIUM,1
DHL Express Global,3337.9,6,MEDIUM,0.85,MEDIUM,1
UPS Supply Chain Solutions,3642.2,7,MEDIUM,0.31,MEDIUM,1
UPS Supply Chain Solutions,3175.4,6,HIGH,1.0,MEDIUM,1
Maersk Intermodal,950.7,2,MEDIUM,0.1,HIGH,0
FedEx Freight,1111.0,2,MEDIUM,0.84,HIGH,0
UPS Supply Chain Solutions,2663.0,5,HIGH,0.63,MEDIUM,1
FedEx Freight,1034.2,2,MEDIUM,0.84,LOW,0
DHL Express Global,3736.7,8,HIGH,0.01,URGENT,1
UPS Supply Chain Solutions,2296.3,5,LOW,0.27,MEDIUM,0
FedEx Freight,3196.1,6,LOW,0.43,URGENT,1
DHL Express Global,1644.4,4,HIGH,0.23,HIGH,1
FedEx Freight,2757.1,6,LOW,0.44,LOW,1
DHL Express Global,1254.2,3,MEDIUM,0.44,URGENT,0
FedEx Freight,1040.1,3,HIGH,0.05,MEDIUM,1
UPS Supply Chain Solutions,420.4,2,LOW,0.67,LOW,1
FedEx Freight,3655.4,7,LOW,0.54,MEDIUM,0
UPS Supply Chain Solutions,2546.6,6,LOW,0.6,MEDIUM,0
Maersk Intermodal,2188.3,5,LOW,0.9,MEDIUM,0
DHL Express Global,1614.3,4,LOW,0.56,MEDIUM,0
DHL Express Global,1715.8,3,MEDIUM,0.44,HIGH,1
UPS Supply Chain Solutions,2533.5,6,LOW,0.22,LOW,0
UPS Supply Chain Solutions,1523.8,3,MEDIUM,0.65,MEDIUM,1
DHL Express Global,1121.2,3,MEDIUM,0.54,MEDIUM,0
FedEx Freight,2094.5,4,MEDIUM,0.75,LOW,0
FedEx Freight,646.2,2,LOW,0.48,LOW,0
UPS Supply Chain Solutions,2685.4,5,MEDIUM,0.93,MEDIUM,1
Maersk Intermodal,2300.0,4,LOW,0.33,MEDIUM,0
DHL Express Global,1389.4,4,LOW,0.18,LOW,0
UPS Supply Chain Solutions,3031.5,6,MEDIUM,0.36,HIGH,1
UPS Supply Chain Solutions,1379.5,4,HIGH,0.82,LOW,1
UPS Supply Chain Solutions,991.9,3,MEDIUM,0.9,LOW,0
DHL Express Global,2554.8,5,LOW,0.68,LOW,0
UPS Supply Chain Solutions,2369.8,5,LOW,0.38,URGENT,0
UPS Supply Chain Solutions,1414.0,3,MEDIUM,0.74,MEDIUM,0
DHL Express Global,2359.7,5,LOW,0.02,MEDIUM,0
FedEx Freight,2285.1,4,LOW,0.81,HIGH,0
UPS Supply Chain Solutions,2154.6,5,MEDIUM,0.43,URGENT,1
DHL Express Global,2425.7,6,MEDIUM,0.66,MEDIUM,1
Maersk Intermodal,1715.8,4,HIGH,0.05,HIGH,0
DHL Express Global,1983.7,4,MEDIUM,0.41,HIGH,0
UPS Supply Chain Solutions,2704.1,5,LOW,0.34,HIGH,0
FedEx Freight,944.5,2,HIGH,0.64,URGENT,1
DHL Express Global,1019.5,2,MEDIUM,0.08,HIGH,0
DHL Express Global,2941.4,5,LOW,0.73,HIGH,0
Maersk Intermodal,1643.9,4,LOW,0.77,HIGH,0
FedEx Freight,677.7,2,HIGH,0.28,LOW,1
DHL Express Global,1658.1,4,MEDIUM,0.86,LOW,1
FedEx Freight,2917.1,5,MEDIUM,0.01,URGENT,0
DHL Express Global,3162.4,6,HIGH,0.19,URGENT,1
UPS Supply Chain Solutions,3426.7,7,MEDIUM,0.07,MEDIUM,1
UPS Supply Chain Solutions,2140.2,4,LOW,0.98,LOW,1
Maersk Intermodal,2935.0,5,LOW,0.21,URGENT,0
DHL Express Global,1351.3,4,LOW,0.6,URGENT,0
FedEx Freight,1949.4,4,LOW,0.88,MEDIUM,1
Maersk Intermodal,3077.0,6,LOW,0.62,MEDIUM,0
DHL Express Global,3770.3,7,LOW,0.24,URGENT,0
Maersk Intermodal,1854.6,5,LOW,0.45,LOW,1
DHL Express Global,3547.1,7,HIGH,0.93,HIGH,1
Maersk Intermodal,2069.8,4,LOW,0.12,LOW,0
FedEx Freight,3087.2,7,LOW,0.2,URGENT,0
DHL Express Global,865.6,2,LOW,0.55,MEDIUM,0
DHL Express Global,1200.7,4,LOW,0.95,MEDIUM,1
FedEx Freight,2648.3,5,HIGH,0.83,HIGH,1
Maersk Intermodal,591.3,1,MEDIUM,0.13,HIGH,1
Maersk Intermodal,954.6,2,MEDIUM,0.8,MEDIUM,1
FedEx Freight,1941.6,5,LOW,0.92,LOW,1
Maersk Intermodal,2810.5,6,MEDIUM,0.86,HIGH,1
DHL Express Global,2183.9,5,MEDIUM,0.9,HIGH,1
UPS Supply Chain Solutions,2393.9,4,LOW,0.51,URGENT,0
FedEx Freight,2403.8,6,MEDIUM,0.81,LOW,1
UPS Supply Chain Solutions,1185.6,3,HIGH,0.15,HIGH,0
Maersk Intermodal,2143.6,4,MEDIUM,0.59,URGENT,1
UPS Supply Chain Solutions,1701.5,4,LOW,0.13,MEDIUM,0
FedEx Freight,1333.8,3,MEDIUM,0.91,URGENT,1
Maersk Intermodal,3481.1,6,MEDIUM,0.92,HIGH,1
UPS Supply Chain Solutions,1738.1,3,MEDIUM,0.36,MEDIUM,0
FedEx Freight,2295.4,5,MEDIUM,0.49,HIGH,0
DHL Express Global,1623.5,3,LOW,0.31,HIGH,0
DHL Express Global,2911.7,6,LOW,0.49,URGENT,0
UPS Supply Chain Solutions,1786.4,4,LOW,0.11,LOW,0
UPS Supply Chain Solutions,2360.5,5,MEDIUM,0.41,MEDIUM,0
UPS Supply Chain Solutions,3424.8,6,MEDIUM,0.56,MEDIUM,1
UPS Supply Chain Solutions,3459.6,7,HIGH,0.75,MEDIUM,1
DHL Express Global,2709.0,5,LOW,0.45,HIGH,0
FedEx Freight,948.4,3,MEDIUM,0.64,MEDIUM,0
UPS Supply Chain Solutions,1873.2,5,HIGH,0.28,URGENT,0
UPS Supply Chain Solutions,2249.3,5,MEDIUM,0.2,HIGH,0
Maersk Intermodal,1173.9,2,LOW,0.21,MEDIUM,0
FedEx Freight,1190.5,2,HIGH,0.86,MEDIUM,0
DHL Express Global,614.9,2,MEDIUM,0.62,MEDIUM,1
DHL Express Global,495.8,1,LOW,0.94,URGENT,1
Maersk Intermodal,2093.0,4,LOW,0.39,URGENT,0
Maersk Intermodal,2003.0,4,MEDIUM,0.04,MEDIUM,0
FedEx Freight,2510.2,5,MEDIUM,0.81,LOW,1
Maersk Intermodal,2945.6,5,MEDIUM,0.74,HIGH,1
UPS Supply Chain Solutions,685.1,2,HIGH,0.98,HIGH,1
UPS Supply Chain Solutions,304.0,1,MEDIUM,0.12,LOW,1
UPS Supply Chain Solutions,2249.1,4,HIGH,0.9,URGENT,1
UPS Supply Chain Solutions,3317.1,6,LOW,0.95,MEDIUM,1
DHL Express Global,3126.8,7,MEDIUM,0.1,LOW,1
Maersk Intermodal,1175.7,2,MEDIUM,0.19,URGENT,1
Maersk Intermodal,872.7,3,MEDIUM,0.79,HIGH,0
DHL Express Global,3584.3,6,LOW,0.99,URGENT,0
UPS Supply Chain Solutions,1045.2,3,MEDIUM,0.68,MEDIUM,1
FedEx Freight,810.5,3,LOW,0.82,URGENT,0
Maersk Intermodal,347.8,1,HIGH,0.14,LOW,0
FedEx Freight,3313.0,7,MEDIUM,0.76,HIGH,1
DHL Express Global,3149.7,7,LOW,0.24,HIGH,0
DHL Express Global,675.7,3,MEDIUM,0.7,HIGH,1
UPS Supply Chain Solutions,1543.0,4,MEDIUM,0.43,LOW,0
DHL Express Global,3553.2,6,MEDIUM,0.25,URGENT,0
DHL Express Global,2967.6,6,MEDIUM,0.2,URGENT,0
FedEx Freight,3721.8,8,HIGH,0.01,MEDIUM,1
UPS Supply Chain Solutions,3093.6,7,HIGH,0.3,URGENT,1
FedEx Freight,1255.6,4,LOW,0.31,MEDIUM,0
Maersk Intermodal,1189.9,3,LOW,0.18,MEDIUM,1
FedEx Freight,1657.6,4,HIGH,0.4,URGENT,1
FedEx Freight,2016.6,5,LOW,0.89,URGENT,1
DHL Express Global,2109.3,4,HIGH,0.4,MEDIUM,1
Maersk Intermodal,3210.4,6,LOW,0.03,URGENT,0
DHL Express Global,1623.5,3,MEDIUM,0.13,MEDIUM,1
UPS Supply Chain Solutions,2159.0,4,HIGH,0.79,HIGH,0
DHL Express Global,2402.9,5,HIGH,0.07,HIGH,0
UPS Supply Chain Solutions,1728.9,3,MEDIUM,0.91,MEDIUM,0
Maersk Intermodal,1459.5,3,MEDIUM,0.26,URGENT,1
DHL Express Global,3038.5,6,MEDIUM,0.65,HIGH,1
DHL Express Global,1003.8,2,LOW,0.67,MEDIUM,0
Maersk Intermodal,1931.7,5,MEDIUM,0.79,MEDIUM,0
UPS Supply Chain Solutions,1896.2,4,LOW,0.68,MEDIUM,1
FedEx Freight,1322.6,4,HIGH,0.76,HIGH,1
UPS Supply Chain Solutions,1255.6,4,LOW,0.25,HIGH,0
UPS Supply Chain Solutions,3233.5,7,MEDIUM,0.52,LOW,1
UPS Supply Chain Solutions,467.7,1,HIGH,0.14,HIGH,1
